"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes.RestaurantsTableService","attributes.WiFi","attributes.BikeParking","attributes.BusinessParking","attributes.BusinessAcceptsCreditCards","attributes.RestaurantsReservations","attributes.WheelchairAccessible","attributes.Caters","attributes.OutdoorSeating","attributes.RestaurantsGoodForGroups","attributes.HappyHour","attributes.BusinessAcceptsBitcoin","attributes.RestaurantsPriceRange2","attributes.Ambience","attributes.HasTV","attributes.Alcohol","attributes.GoodForMeal","attributes.DogsAllowed","attributes.RestaurantsTakeOut","attributes.NoiseLevel","attributes.RestaurantsAttire","attributes.RestaurantsDelivery","attributes.GoodForKids","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.HairSpecializesIn","attributes.GoodForDancing","attributes.BestNights","attributes.Music","attributes.BYOB","attributes.CoatCheck","attributes.Smoking","attributes.DriveThru","attributes.BYOBCorkage","attributes.Corkage","attributes.RestaurantsCounterService","attributes.AgesAllowed","attributes.DietaryRestrictions","attributes.Open24Hours","categories","hours.Monday","hours.Tuesday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday"
"1","wv314cvTXt7-0dr0SpCQAw","Chipotle Mexican Grill","46 Walkers Brook Dr","Reading","MA","01867",42.51964, -71.09243,2.5, 29,1,NA,NA,NA,{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False},True,False,NA,NA,True,True,NA,NA,1,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False},True,'none',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,True,NA,u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Restaurants, Mexican, Fast Food",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"2","1DqH1jYITwUvlVut_YBApg","Chipotle Mexican Grill","2850 S Kirkman Rd","Orlando","FL","32811",28.51208, -81.45976,3.0, 81,1,NA,'no',True,{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},True,'beer_and_wine',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,True,'loud','casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Fast Food, Mexican, Restaurants, Vegan",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"3","HaKhksuFqOkKNY2_AZvPuQ","Chipotle Mexican Grill","8695 Owenfield Dr","Powell","OH","43065",40.16501, -83.02078,2.5, 41,1,NA,'free',True,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False},True,u'none',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,True,'average','casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexican, Restaurants, Fast Food",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"4","BSgn3PhOghLhyw00hdiQyQ","Chipotle Mexican Grill","9120 SW Hall Blvd, Ste D","Portland","OR","97223",45.45473,-122.77695,2.5,147,1,NA,'no',True,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},True,u'beer_and_wine',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,True,u'average',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Restaurants, Fast Food, Mexican, Food",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"5","44lWPwdBCOU9nsApE9FbRA","Chipotle Mexican Grill","60 Newport Ave","Quincy","MA","02171",42.27258, -71.02726,2.5,147,1,NA,'no',True,{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},True,u'none',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,True,u'very_loud',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Fast Food, Food, Mexican, Tex-Mex, Restaurants",10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30,10:45-21:30
"6","4jrYlnf2zvYLhWp6HYtM9g","Chipotle Mexican Grill","2130 N High St","Columbus","OH","43201",40.00580, -83.00898,2.0, 10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,True,NA,NA,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restaurants, Fast Food, Mexican",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"7","GA82Hdfv2me7IYm4ojbzcg","Chipotle Mexican Grill","14795 SW Murray Scholls Dr, Ste 112","Beaverton","OR","97007",45.43774,-122.82899,2.5, 70,1,NA,NA,True,{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},True,False,NA,NA,True,True,NA,NA,1,None,True,NA,NA,NA,True,NA,'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Restaurants, Tex-Mex, Mexican, Fast Food",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"8","KpdYtK2KtLxEzYNW38XKZQ","Chipotle Mexican Grill","6815 E Broad St","Columbus","OH","43213",39.98065, -82.82174,2.5, 43,1,NA,'free',True,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False},True,'beer_and_wine',{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False},NA,True,'average',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Restaurants, Fast Food, Mexican",10:45-23:0,10:45-23:0,10:45-23:0,10:45-23:0,10:45-23:0,10:45-23:0,10:45-23:0
"9","Z6W09yz3d_FU1VQubdd43w","Chipotle Mexican Grill","610 E Stassney Ln, Ste B","Austin","TX","78745",30.20129, -97.76848,3.5, 58,1,NA,'no',True,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True},True,u'beer_and_wine',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,True,'average','casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Tex-Mex, Mexican, Restaurants, Fast Food",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
"10","Hhc8Ix8sygBjqFbiO1c1TQ","Chipotle Mexican Grill","4315 W Lake Mary Blvd","Lake Mary","FL","32746",28.75567, -81.35076,3.0, 60,1,False,'free',True,{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},True,False,NA,True,True,True,NA,NA,1,{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},True,'none',{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False},NA,True,u'average',u'casual',True,True,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,NA,NA,NA,"Mexican, Fast Food, Restaurants",10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
